,Cost,# of Atoms,Peak OD, [Optical pump],Opt. pump Freq [Optical pump],Opt. pump Ampl [Optical pump]
33,813.4709076188205,28707404.857773654,2.9710977084473837,0.7000000000000001,95.0,0.30000000000000004
70,880.2011577017696,28686057.035741102,3.0503647804514906,0.30000000000000004,90.0,0.15000000000000002
71,702.8969863352169,28356222.034078762,2.8321954571710997,1.0,93.0,0.05
24,789.4840683266433,28219002.64953154,2.944970244940219,0.5,92.0,0.15000000000000002
98,783.6832523511754,28052693.43688003,2.93889766942584,0.8,87.0,0.15000000000000002
23,813.8331256116894,28019843.022479247,2.9763453690011605,0.30000000000000004,93.0,0.30000000000000004
25,800.6227419136396,27871011.465401802,2.961204421289032,0.9,85.0,0.05
62,813.9896618725015,27811056.760272842,2.978020842500304,0.4,90.0,0.1
35,771.3501554219827,27608987.067862067,2.9265084377904422,0.2,89.0,0.5
94,785.4096530101195,27509284.48426708,2.9448923450550724,0.5,91.0,0.05
96,859.3755738809062,27315329.403500024,3.0360101717460224,0.30000000000000004,87.0,0.25
32,786.7122499123204,27261152.182834025,2.948300043868,0.5,94.0,0.25
69,741.4555744275676,27067375.73247772,2.892020112723151,0.6,87.0,0.45
37,735.5716328336924,26818494.12400869,2.886126731183089,0.9,92.0,0.5
90,759.180700419828,26801073.906175237,2.9168064210355436,0.30000000000000004,92.0,0.35000000000000003
99,813.8543036595116,26795136.044586223,2.9852533317447176,0.2,87.0,0.2
39,722.6596522385673,26770297.33062823,2.869483686906206,0.2,87.0,0.45
72,730.6200097387274,26729922.90141755,2.8802711980637823,0.30000000000000004,92.0,0.15000000000000002
67,741.1010562680107,26634208.032730736,2.8946709936636394,0.6,89.0,0.45
93,714.1326481505481,26633840.27331214,2.859126874644546,1.0,95.0,0.35000000000000003
12,665.0733374304064,26570199.72396194,2.7925411541878677,0.9,85.0,0.1
97,812.8119514843681,26569640.993791524,2.985660153732812,0.1,90.0,0.30000000000000004
8,762.2134729087546,26470661.51471005,2.923101899752232,0.8,94.0,0.2
5,769.4780231062255,26404344.81640243,2.9328495734016617,0.8,95.0,0.45
