,Cost,# of Atoms,Peak OD,Y Field [Compression],Y Field [Cooling],Y Field [Repump off],Y Field [Optical pump],Y Field [Stage 16]
100,998.0142004823591,39640890.71291948,3.1129430291393914,0.0,0.0,0.1,0.02,0.1
184,869.647472616473,38478798.30458317,2.9792128153115485,0.03,0.02,0.15,0.03,0.06
9,959.7271058324044,37833439.32800918,3.082190271028434,0.0,0.01,0.04,0.03,0.04
176,919.5149131436789,37149815.87138544,3.0422233576298594,0.0,0.04,0.14,0.04,0.05
177,905.6110199233198,36856763.8022999,3.0284103152842943,0.0,0.03,0.14,0.07,0.04
10,921.6962609782149,36832452.39802536,3.0463691684875642,0.01,0.03,0.08,0.01,0.24
185,760.4501540006536,36344049.63835992,2.8597628571047946,0.01,0.04,0.19,0.05,0.03
143,885.2022227364048,36253355.93487999,3.0087974165189064,0.0,0.01,0.15,0.05,0.05
80,745.5295913532409,36070191.031075105,2.842368659587027,0.03,0.05,0.11,0.2,0.04
98,661.5335254730688,35396492.62780407,2.734777400528135,0.01,0.05,0.12,0.09,0.08
186,725.1666766936081,35263030.432006925,2.820503806427116,0.03,0.03,0.19,0.02,0.05
141,754.0140815569395,35014087.54490879,2.8587687884257083,0.0,0.04,0.12,0.07,0.1
187,759.0589080121279,34872222.18827205,2.8659059089579717,0.02,0.05,0.06,0.12,0.04
142,739.2605465088849,34859460.03826079,2.8408384825902107,0.0,0.03,0.15,0.07,0.17
79,659.733243061569,34633975.45953034,2.736264376098386,0.02,0.08,0.11,0.1,0.21
175,660.7689980397676,34328186.01436839,2.7393147611263235,0.02,0.01,0.16,0.06,0.0
120,638.9844111346566,34168135.34958395,2.709718153655437,0.01,0.05,0.18,0.15,0.08
102,697.44734541283,34157542.62542433,2.7900168085364405,0.0,0.03,0.1,0.01,0.04
155,697.7906434724421,33976035.071627975,2.791465927594134,0.01,0.06,0.17,0.05,0.26
178,680.494615884137,33957278.328445144,2.768310740883724,0.02,0.06,0.13,0.1,0.29
112,607.2850821121446,33845477.58362199,2.665833164129162,0.01,0.05,0.15,0.05,0.28
113,613.7405087221716,33575752.834065616,2.6766733083835073,0.0,0.0,0.15,0.0,0.09
169,673.2625938233236,33323064.207684107,2.7619385098122575,0.0,0.01,0.1,0.04,0.02
72,569.4132360208782,33201759.504088916,2.612566133572168,0.01,0.08,0.17,0.08,0.22
115,552.7140859488684,33173505.583145127,2.5869196221683537,0.03,0.05,0.06,0.11,0.04
188,703.4594684917768,33064169.064314954,2.80408629520995,0.0,0.03,0.0,0.03,0.29
160,629.8549647988679,32991551.12403128,2.703059034059441,0.0,0.02,0.15,0.02,0.04
182,634.0378382406024,32971427.66236508,2.709139721795813,0.01,0.02,0.18,0.01,0.05
195,629.2812550175597,32878883.449912615,2.7028544696819963,0.01,0.03,0.11,0.06,0.06
82,438.4943086160181,32765746.565752514,2.3967837867554613,0.07,0.01,0.12,0.21,0.13
114,555.9053577148392,32720346.342027776,2.5942668086407177,0.01,0.01,0.04,0.11,0.01
104,647.0919407108078,32654790.005973797,2.729361663782297,0.01,0.04,0.07,0.04,0.13
69,524.1416012605387,32648160.374068424,2.5442581816595635,0.04,0.07,0.13,0.09,0.22
116,587.0245511211182,32534586.941289954,2.6428019993212803,0.0,0.06,0.07,0.1,0.03
196,693.4368305813632,32451524.477515753,2.794187369237708,0.01,0.04,0.02,0.04,0.28
180,624.544003658296,32396718.895846575,2.698711833781783,0.03,0.06,0.03,0.1,0.23
183,500.80741167119044,32293416.158170864,2.5077537662138427,0.03,0.07,0.11,0.14,0.03
140,594.7856688617126,32068615.182131056,2.656952204258652,0.0,0.05,0.2,0.11,0.13
48,555.4164694440136,32064560.942841515,2.5970092036153467,0.03,0.04,0.17,0.12,0.15
197,555.0737990995628,32029684.894484892,2.596663409160451,0.04,0.06,0.19,0.18,0.27
174,569.0749204532333,31981411.902036242,2.6185783319030644,0.02,0.06,0.0,0.09,0.08
133,561.409319120998,31890204.86171506,2.6072638808999633,0.01,0.04,0.11,0.12,0.05
53,579.9066018189355,31680135.566585906,2.6367512891587794,0.0,0.0,0.03,0.09,0.24
121,519.5645085482487,31676857.46071678,2.5419439568142415,0.01,0.07,0.04,0.02,0.28
154,513.1095757295452,31651857.960522924,2.531506496128027,0.04,0.07,0.1,0.19,0.13
170,599.8842250910611,31616531.208616566,2.6670458916386766,0.0,0.0,0.11,0.08,0.13
119,482.44102852607614,31574745.413493685,2.480434215760175,0.02,0.07,0.01,0.07,0.07
147,476.2795814538652,31507415.430389483,2.4701809406901587,0.01,0.09,0.18,0.04,0.26
168,504.11848135554874,31380815.324142642,2.518076373455609,0.02,0.0,0.1,0.03,0.0
179,502.2807678016855,31338937.741765436,2.5152367781775524,0.03,0.06,0.14,0.1,0.2
103,469.93544134135226,31311995.038934857,2.4601844109731594,0.01,0.06,0.16,0.01,0.16
166,576.9970660100108,31300136.652536944,2.634452860266756,0.0,0.02,0.18,0.01,0.2
161,469.26435342890954,31265556.37042772,2.45925611216794,0.0,0.07,0.14,0.14,0.08
108,566.9396618741418,31226033.546323683,2.619470287834304,0.0,0.01,0.03,0.01,0.17
173,542.0830371100716,31077205.00587456,2.5814366487933436,0.03,0.03,0.13,0.23,0.27
111,504.26348307299844,31001531.97726581,2.520360304416292,0.0,0.01,0.18,0.03,0.11
17,367.6048349301668,30945958.86532849,2.2685889604378455,0.08,0.04,0.19,0.12,0.14
181,517.0854511602768,30937133.92815917,2.5418959784686455,0.0,0.03,0.19,0.07,0.05
106,495.8973719751406,30909799.66139368,2.506839512120126,0.02,0.01,0.01,0.16,0.3
